drugbank_id,name,other_drug_name,interaction_description
db00001,lepirudin,apixaban,apixaban may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,dabigatran etexilate,dabigatran etexilate may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,dasatinib,the risk or severity of bleeding and hemorrhage can be increased when dasatinib is combined with lepirudin.
db00001,lepirudin,deferasirox,the risk or severity of gastrointestinal bleeding can be increased when lepirudin is combined with deferasirox.
db00001,lepirudin,ursodeoxycholic acid,the risk or severity of bleeding and bruising can be increased when lepirudin is combined with ursodeoxycholic acid.
db00001,lepirudin,glycochenodeoxycholic acid,the risk or severity of bleeding and bruising can be increased when lepirudin is combined with glycochenodeoxycholic acid.
db00001,lepirudin,cholic acid,the risk or severity of bleeding and bruising can be increased when lepirudin is combined with cholic acid.
db00001,lepirudin,glycocholic acid,the risk or severity of bleeding and bruising can be increased when lepirudin is combined with glycocholic acid.
db00001,lepirudin,deoxycholic acid,the risk or severity of bleeding and bruising can be increased when lepirudin is combined with deoxycholic acid.
db00001,lepirudin,taurocholic acid,the risk or severity of bleeding and bruising can be increased when lepirudin is combined with taurocholic acid.
db00001,lepirudin,obeticholic acid,the risk or severity of bleeding and bruising can be increased when lepirudin is combined with obeticholic acid.
db00001,lepirudin,chenodeoxycholic acid,the risk or severity of bleeding and bruising can be increased when lepirudin is combined with chenodeoxycholic acid.
db00001,lepirudin,taurochenodeoxycholic acid,the risk or severity of bleeding and bruising can be increased when lepirudin is combined with taurochenodeoxycholic acid.
db00001,lepirudin,tauroursodeoxycholic acid,the risk or severity of bleeding and bruising can be increased when lepirudin is combined with tauroursodeoxycholic acid.
db00001,lepirudin,bamet-ud2,the risk or severity of bleeding and bruising can be increased when lepirudin is combined with bamet-ud2.
db00001,lepirudin,dehydrocholic acid,the risk or severity of bleeding and bruising can be increased when lepirudin is combined with dehydrocholic acid.
db00001,lepirudin,hyodeoxycholic acid,the risk or severity of bleeding and bruising can be increased when lepirudin is combined with hyodeoxycholic acid.
db00001,lepirudin,edoxaban,the risk or severity of bleeding can be increased when edoxaban is combined with lepirudin.
db00001,lepirudin,ibrutinib,the risk or severity of bleeding and hemorrhage can be increased when ibrutinib is combined with lepirudin.
db00001,lepirudin,obinutuzumab,the risk or severity of bleeding and hemorrhage can be increased when lepirudin is combined with obinutuzumab.
db00001,lepirudin,rivaroxaban,lepirudin may increase the anticoagulant activities of rivaroxaban.
db00001,lepirudin,sugammadex,the risk or severity of bleeding and hemorrhage can be increased when lepirudin is combined with sugammadex.
db00001,lepirudin,tibolone,tibolone may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,tipranavir,the risk or severity of bleeding and hemorrhage can be increased when tipranavir is combined with lepirudin.
db00001,lepirudin,urokinase,urokinase may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,vitamin e,vitamin e may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,vorapaxar,the risk or severity of bleeding and hemorrhage can be increased when vorapaxar is combined with lepirudin.
db00001,lepirudin,ginkgo biloba,ginkgo biloba may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,ifosfamide,the risk or severity of bleeding can be increased when ifosfamide is combined with lepirudin.
db00001,lepirudin,quinine,the therapeutic efficacy of lepirudin can be increased when used in combination with quinine.
db00001,lepirudin,quinidine,the therapeutic efficacy of lepirudin can be increased when used in combination with quinidine.
db00001,lepirudin,tamoxifen,the risk or severity of bleeding can be increased when tamoxifen is combined with lepirudin.
db00001,lepirudin,toremifene,the risk or severity of bleeding can be increased when toremifene is combined with lepirudin.
db00001,lepirudin,pentoxifylline,the therapeutic efficacy of lepirudin can be increased when used in combination with pentoxifylline.
db00001,lepirudin,pentosan polysulfate,pentosan polysulfate may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,levocarnitine,the therapeutic efficacy of lepirudin can be increased when used in combination with levocarnitine.
db00001,lepirudin,diethylstilbestrol,diethylstilbestrol may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,chlorotrianisene,chlorotrianisene may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,conjugated estrogens,conjugated estrogens may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,mestranol,the risk or severity of adverse effects can be increased when mestranol is combined with lepirudin.
db00001,lepirudin,estrone sulfate,estrone sulfate may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,quinestrol,quinestrol may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,hexestrol,hexestrol may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,"synthetic conjugated estrogens, a","synthetic conjugated estrogens, a may decrease the anticoagulant activities of lepirudin."
db00001,lepirudin,"synthetic conjugated estrogens, b","synthetic conjugated estrogens, b may decrease the anticoagulant activities of lepirudin."
db00001,lepirudin,polyestradiol phosphate,polyestradiol phosphate may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,esterified estrogens,esterified estrogens may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,zeranol,zeranol may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,equol,equol may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,methallenestril,methallenestril may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,epimestrol,epimestrol may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,moxestrol,moxestrol may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,estradiol acetate,estradiol acetate may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,estradiol benzoate,estradiol benzoate may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,estradiol cypionate,estradiol cypionate may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,estradiol valerate,estradiol valerate may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,biochanin a,biochanin a may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,formononetin,formononetin may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,estriol,estriol may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,limaprost,the risk or severity of bleeding can be increased when limaprost is combined with lepirudin.
db00001,lepirudin,icosapent,the risk or severity of bleeding and hemorrhage can be increased when icosapent is combined with lepirudin.
db00001,lepirudin,mesalazine,the risk or severity of bleeding can be increased when mesalazine is combined with lepirudin.
db00001,lepirudin,indomethacin,the risk or severity of bleeding and hemorrhage can be increased when indomethacin is combined with lepirudin.
db00001,lepirudin,nabumetone,the risk or severity of bleeding and hemorrhage can be increased when nabumetone is combined with lepirudin.
db00001,lepirudin,ketorolac,the risk or severity of bleeding and hemorrhage can be increased when ketorolac is combined with lepirudin.
db00001,lepirudin,tenoxicam,the risk or severity of bleeding and hemorrhage can be increased when tenoxicam is combined with lepirudin.
db00001,lepirudin,celecoxib,the risk or severity of bleeding and hemorrhage can be increased when celecoxib is combined with lepirudin.
db00001,lepirudin,tolmetin,the risk or severity of bleeding and hemorrhage can be increased when tolmetin is combined with lepirudin.
db00001,lepirudin,rofecoxib,the risk or severity of bleeding and hemorrhage can be increased when rofecoxib is combined with lepirudin.
db00001,lepirudin,piroxicam,the risk or severity of bleeding and hemorrhage can be increased when piroxicam is combined with lepirudin.
db00001,lepirudin,fenoprofen,the risk or severity of bleeding and hemorrhage can be increased when fenoprofen is combined with lepirudin.
db00001,lepirudin,valdecoxib,the risk or severity of bleeding and hemorrhage can be increased when valdecoxib is combined with lepirudin.
db00001,lepirudin,diclofenac,the risk or severity of bleeding and hemorrhage can be increased when diclofenac is combined with lepirudin.
db00001,lepirudin,sulindac,the risk or severity of bleeding and hemorrhage can be increased when sulindac is combined with lepirudin.
db00001,lepirudin,flurbiprofen,the risk or severity of bleeding and hemorrhage can be increased when flurbiprofen is combined with lepirudin.
db00001,lepirudin,etodolac,the risk or severity of bleeding and hemorrhage can be increased when etodolac is combined with lepirudin.
db00001,lepirudin,mefenamic acid,the risk or severity of bleeding and hemorrhage can be increased when mefenamic acid is combined with lepirudin.
db00001,lepirudin,naproxen,the risk or severity of bleeding and hemorrhage can be increased when naproxen is combined with lepirudin.
db00001,lepirudin,sulfasalazine,the risk or severity of bleeding and hemorrhage can be increased when sulfasalazine is combined with lepirudin.
db00001,lepirudin,phenylbutazone,the risk or severity of bleeding and hemorrhage can be increased when phenylbutazone is combined with lepirudin.
db00001,lepirudin,meloxicam,the risk or severity of bleeding and hemorrhage can be increased when meloxicam is combined with lepirudin.
